"Date","Price","Open","High","Low","Change %"
"Nov 13","2.746","2.560","2.839","2.554","7.60%"
"Oct 13","2.552","2.614","2.759","2.471","-2.41%"
"Sep 13","2.615","2.837","3.007","2.590","-6.24%"
"Aug 13","2.789","2.584","2.936","2.552","7.77%"
"Jul 13","2.588","2.495","2.755","2.415","4.06%"
"Jun 13","2.487","2.157","2.667","1.999","16.65%"
"May 13","2.132","1.668","2.235","1.614","27.44%"
"Apr 13","1.673","1.875","1.888","1.638","-9.67%"
"Mar 13","1.852","1.877","2.087","1.827","-1.54%"
"Feb 13","1.881","1.990","2.064","1.836","-5.24%"
"Jan 13","1.985","1.757","2.037","1.757","13.04%"
"Dec 12","1.756","1.618","1.847","1.564","8.66%"
"Nov 12","1.616","1.702","1.781","1.556","-4.60%"
"Oct 12","1.694","1.623","1.856","1.599","3.74%"
"Sep 12","1.633","1.552","1.894","1.542","5.49%"
"Aug 12","1.548","1.468","1.863","1.446","5.31%"
"Jul 12","1.470","1.652","1.660","1.381","-10.53%"
"Jun 12","1.643","1.570","1.728","1.442","5.12%"
"May 12","1.563","1.919","1.966","1.533","-18.55%"
"Apr 12","1.919","2.237","2.308","1.884","-13.32%"
"Mar 12","2.214","1.983","2.399","1.931","12.16%"
"Feb 12","1.974","1.797","2.080","1.797","9.97%"
"Jan 12","1.795","1.876","2.094","1.792","-4.32%"
"Dec 11","1.876","2.079","2.167","1.798","-9.42%"
"Nov 11","2.071","2.135","2.153","1.872","-2.13%"
"Oct 11","2.116","1.919","2.420","1.717","10.38%"
"Sep 11","1.917","2.222","2.278","1.674","-14.19%"
"Aug 11","2.234","2.820","2.858","1.976","-19.99%"
"Jul 11","2.792","3.162","3.223","2.773","-11.65%"
"Jun 11","3.160","3.070","3.221","2.842","3.30%"
"May 11","3.059","3.297","3.323","3.041","-7.02%"
"Apr 11","3.290","3.476","3.619","3.283","-5.19%"
"Mar 11","3.470","3.440","3.598","3.143","1.40%"
"Feb 11","3.422","3.372","3.770","3.372","1.42%"
"Jan 11","3.374","3.305","3.497","3.253","2.62%"
